#Detrending for the temperature dependent PSF, observed in BRITE photometry, done on 2016-03-21 15:16:1458569799.
#This file contains the corrected flux and the correction which has been applied in order to deduce it.
#The adopted technique is to:
#1. split the observations in smaller time bins, which have been selected according to the long term temperature variations and (possibly) too long gaps.
#2. perform 1D fits within each bin for flux vs xPOS and flux vs yPOS -- !!always both!! --.
#Now, on to the header for each columnn:
#----------------------------------------
#Column1: time measurements [d]
#Column2: original, uncorrected flux [adu]
#Column3: corrected flux [adu]
#Column4: derived correction, applied to the flux [adu]
#----------------------------------------
2.457057199331e+06 1.2463433e+05 1.2558016e+05 -9.4583697e+02
2.457057199566e+06 1.2731691e+05 1.2649724e+05 8.1966455e+02
2.457057199801e+06 1.2751758e+05 1.2633249e+05 1.1850953e+03
2.457057257517e+06 1.2621067e+05 1.2652920e+05 -3.1852674e+02
2.457057257752e+06 1.2589535e+05 1.2604986e+05 -1.5451813e+02
2.457057257987e+06 1.2418664e+05 1.2622530e+05 -2.0386641e+03
2.457057258222e+06 1.2654986e+05 1.2495097e+05 1.5988925e+03
2.457057258458e+06 1.2462147e+05 1.2648035e+05 -1.8588768e+03
2.457057258693e+06 1.2513606e+05 1.2529174e+05 -1.5567906e+02
2.457057258928e+06 1.2571887e+05 1.2639567e+05 -6.7679413e+02
2.457057259163e+06 1.2416914e+05 1.2533837e+05 -1.1692303e+03
2.457057259398e+06 1.2570093e+05 1.2643168e+05 -7.3075426e+02
2.457057259633e+06 1.2605024e+05 1.2576696e+05 2.8328395e+02
2.457057259869e+06 1.2448014e+05 1.2615403e+05 -1.6738903e+03
2.457057260104e+06 1.2657038e+05 1.2632558e+05 2.4479789e+02
2.457057260339e+06 1.2482859e+05 1.2585848e+05 -1.0298847e+03
2.457057260574e+06 1.2704163e+05 1.2618157e+05 8.6006787e+02
2.457057260809e+06 1.2774764e+05 1.2662107e+05 1.1265624e+03
2.457057261044e+06 1.2536055e+05 1.2568855e+05 -3.2800614e+02
2.457057261279e+06 1.2563391e+05 1.2593687e+05 -3.0295594e+02
2.457057261515e+06 1.2572130e+05 1.2602864e+05 -3.0733925e+02
2.457057261750e+06 1.2427257e+05 1.2540180e+05 -1.1292307e+03
2.457057261985e+06 1.2498666e+05 1.2552566e+05 -5.3899398e+02
2.457057262220e+06 1.2556115e+05 1.2602647e+05 -4.6532624e+02
2.457057262455e+06 1.2606731e+05 1.2631113e+05 -2.4382365e+02
2.457057262690e+06 1.2781213e+05 1.2616295e+05 1.6491805e+03
2.457057262925e+06 1.2812636e+05 1.2610954e+05 2.0168124e+03
2.457057263160e+06 1.2766542e+05 1.2605755e+05 1.6078720e+03
2.457057263395e+06 1.2793815e+05 1.2604492e+05 1.8932281e+03
2.457057263630e+06 1.2534450e+05 1.2603149e+05 -6.8699066e+02
2.457057263865e+06 1.2567685e+05 1.2595697e+05 -2.8012129e+02
2.457057264100e+06 1.2618638e+05 1.2615102e+05 3.5357482e+01
2.457057264336e+06 1.2664792e+05 1.2620334e+05 4.4457930e+02
2.457057264571e+06 1.2760946e+05 1.2660967e+05 9.9978985e+02
2.457057264806e+06 1.2827265e+05 1.2645368e+05 1.8189739e+03
2.457057265041e+06 1.2780436e+05 1.2624872e+05 1.5556402e+03
2.457057265276e+06 1.2802809e+05 1.2661032e+05 1.4177736e+03
2.457057265511e+06 1.2552230e+05 1.2595174e+05 -4.2944558e+02
2.457057265746e+06 1.2464363e+05 1.2574991e+05 -1.1062883e+03
2.457057265982e+06 1.2641706e+05 1.2630082e+05 1.1623417e+02
2.457057266217e+06 1.2586752e+05 1.2605614e+05 -1.8861910e+02
2.457057266452e+06 1.2483342e+05 1.2609501e+05 -1.2615857e+03
2.457057266687e+06 1.2667487e+05 1.2567897e+05 9.9590337e+02
2.457057266922e+06 1.2732254e+05 1.2648966e+05 8.3287024e+02
2.457057267157e+06 1.2480066e+05 1.2565713e+05 -8.5646732e+02
2.457057324873e+06 1.2498022e+05 1.2625892e+05 -1.2787066e+03
2.457057325108e+06 1.2438353e+05 1.2536633e+05 -9.8279887e+02
2.457057325343e+06 1.2651688e+05 1.2538828e+05 1.1285983e+03
2.457057325579e+06 1.2502397e+05 1.2556750e+05 -5.4353613e+02
2.457057325814e+06 1.2499668e+05 1.2593398e+05 -9.3730041e+02
2.457057326049e+06 1.2563067e+05 1.2634236e+05 -7.1169382e+02
2.457057326284e+06 1.2476687e+05 1.2515415e+05 -3.8727671e+02
2.457057326519e+06 1.2456100e+05 1.2597705e+05 -1.4160494e+03
2.457057326754e+06 1.2446650e+05 1.2620787e+05 -1.7413747e+03
2.457057326990e+06 1.2610377e+05 1.2645686e+05 -3.5308745e+02
2.457057327225e+06 1.2607114e+05 1.2584565e+05 2.2548494e+02
2.457057327460e+06 1.2740148e+05 1.2616485e+05 1.2366289e+03
2.457057327695e+06 1.2658857e+05 1.2592483e+05 6.6373253e+02
2.457057327930e+06 1.2422130e+05 1.2576048e+05 -1.5391772e+03
2.457057328165e+06 1.2620951e+05 1.2586917e+05 3.4033490e+02
2.457057328400e+06 1.2529233e+05 1.2626244e+05 -9.7011749e+02
2.457057328636e+06 1.2676965e+05 1.2698082e+05 -2.1117376e+02
2.457057328871e+06 1.2526890e+05 1.2618341e+05 -9.1450662e+02
2.457057329106e+06 1.2582174e+05 1.2579743e+05 2.4304224e+01
2.457057329341e+06 1.2529279e+05 1.2597722e+05 -6.8443330e+02
2.457057329576e+06 1.2472195e+05 1.2620365e+05 -1.4817055e+03
2.457057329811e+06 1.2532534e+05 1.2601581e+05 -6.9047770e+02
2.457057330047e+06 1.2654019e+05 1.2633532e+05 2.0486885e+02
2.457057330282e+06 1.2663579e+05 1.2596808e+05 6.6771132e+02
2.457057330517e+06 1.2597329e+05 1.2557016e+05 4.0312719e+02
2.457057330752e+06 1.2657819e+05 1.2611779e+05 4.6039346e+02
2.457057330987e+06 1.2658483e+05 1.2566463e+05 9.2020239e+02
2.457057331222e+06 1.2695999e+05 1.2596725e+05 9.9273760e+02
2.457057331458e+06 1.2581015e+05 1.2595189e+05 -1.4173976e+02
2.457057331693e+06 1.2548877e+05 1.2522297e+05 2.6579970e+02
2.457057331928e+06 1.2463548e+05 1.2561006e+05 -9.7458103e+02
2.457057332163e+06 1.2448886e+05 1.2533988e+05 -8.5102234e+02
2.457057332398e+06 1.2671000e+05 1.2574666e+05 9.6333777e+02
2.457057332633e+06 1.2575848e+05 1.2567678e+05 8.1696477e+01
2.457057332868e+06 1.2714371e+05 1.2647754e+05 6.6616604e+02
2.457057333104e+06 1.2744502e+05 1.2595816e+05 1.4868631e+03
2.457057333339e+06 1.2585883e+05 1.2561107e+05 2.4775570e+02
2.457057333574e+06 1.2590103e+05 1.2610469e+05 -2.0366215e+02
2.457057333809e+06 1.2670895e+05 1.2617687e+05 5.3207837e+02
2.457057334044e+06 1.2482238e+05 1.2603380e+05 -1.2114143e+03
2.457057334279e+06 1.2663229e+05 1.2636970e+05 2.6259051e+02
2.457057334514e+06 1.2702678e+05 1.2628416e+05 7.4261388e+02
2.457057392230e+06 1.2515877e+05 1.2531999e+05 -1.6122265e+02
2.457057392465e+06 1.2679335e+05 1.2659107e+05 2.0227693e+02
2.457057392701e+06 1.2674326e+05 1.2552135e+05 1.2219075e+03
2.457057392936e+06 1.2536286e+05 1.2587332e+05 -5.1046431e+02
2.457057393170e+06 1.2452337e+05 1.2646330e+05 -1.9399282e+03
2.457057393405e+06 1.2412386e+05 1.2604619e+05 -1.9223282e+03
2.457057393640e+06 1.2523845e+05 1.2586921e+05 -6.3076094e+02
2.457057393875e+06 1.2493499e+05 1.2689040e+05 -1.9554139e+03
2.457057394110e+06 1.2417486e+05 1.2615020e+05 -1.9753396e+03
2.457057394346e+06 1.2530006e+05 1.2558814e+05 -2.8808118e+02
